ID,daily,date,lisa_v,lisa_p,lisa_c,clusterN,p
31039,0.0,20220817,0.3537465292263036,0.006,2,1,2
31109,0.0,20220817,0.3537465292263036,0.001,2,1,3
21053,0.0,20220817,0.3537465292263036,0.012,2,1,1
39063,0.0,20220817,0.3537465292263036,0.003,2,1,2
01027,0.0,20220817,0.3537465292263036,0.014,2,1,1
39003,0.0,20220817,0.3537465292263036,0.015,2,1,1
13189,0.00470752738289443,20220817,7.343811791520678,0.003,1,4,2
42007,0.0022974920552604125,20220817,1.7956186067711148,0.018,1,4,1
28061,0.0,20220817,0.3537465292263036,0.005,2,1,2
29083,0.0,20220817,0.3537465292263036,0.006,2,1,2
37037,0.00187838178810732,20220817,2.4435697681219164,0.001,1,4,3
49033,0.0,20220817,0.27790403698828336,0.05,2,1,1
35003,0.0002836074872376631,20220817,-0.27419883534667794,0.033,3,3,1
01091,0.0,20220817,0.3537465292263036,0.001,2,1,3
56023,0.0,20220817,0.2818836344975027,0.049,2,1,1
54075,0.000591715976331361,20220817,0.009361909657004978,0.019,1,4,1
31101,0.0,20220817,0.3537465292263036,0.009,2,1,2
31137,0.0,20220817,0.3537465292263036,0.004,2,1,2
40135,0.0,20220817,0.31825553652181005,0.022,2,1,1
42053,0.0010939422945439629,20220817,0.46250059103732405,0.041,1,4,1
13025,0.003198976327575176,20220817,5.217294081533645,0.001,1,4,3
13171,0.004070265638389032,20220817,9.561043800789037,0.001,1,4,3
39047,0.0,20220817,0.3537465292263036,0.005,2,1,2
25015,0.0,20220817,0.3537465292263036,0.031,2,1,1
21003,0.0,20220817,0.3537465292263036,0.007,2,1,2
37001,0.0025042247312091303,20220817,3.2647054182153643,0.003,1,4,2
20073,0.001973359644795264,20220817,2.3182008743307527,0.003,1,4,2
25025,0.0,20220817,0.3537465292263036,0.027,2,1,1
12129,0.0,20220817,0.3537465292263036,0.04,2,1,1
12131,0.0,20220817,0.3537465292263036,0.005,2,1,2
28017,0.0,20220817,0.3537465292263036,0.005,2,1,2
26035,0.0,20220817,0.3537465292263036,0.002,2,1,2
12127,0.0,20220817,0.3537465292263036,0.004,2,1,2
