ID,daily,date,lisa_v,lisa_p,lisa_c,clusterN,p
31039,0.0,20220818,0.21252283289436824,0.025,2,1,1
31109,0.0,20220818,0.21252283289436824,0.006,2,1,2
31129,0.0,20220818,0.21252283289436824,0.033,2,1,1
21053,0.0,20220818,0.2125228328943682,0.046,2,1,1
39063,0.002136160449384865,20220818,4.152078124596852,0.003,1,4,2
01027,0.002924195846142311,20220818,6.716049020339094,0.002,1,4,2
40001,0.0032853285328532855,20220818,2.8010500492020665,0.047,1,4,1
39003,0.002277683547370972,20220818,3.9288982507097026,0.005,1,4,2
13189,0.0,20220818,0.21252283289436824,0.025,2,1,1
28061,0.0,20220818,0.21252283289436824,0.017,2,1,1
29083,0.0,20220818,0.21252283289436824,0.026,2,1,1
37037,0.0,20220818,0.21252283289436824,0.007,2,1,2
39085,0.0016872939805352375,20220818,2.5495401952847154,0.022,1,4,1
47065,0.0,20220818,0.2125228328943682,0.002,2,1,2
01091,0.0015009575073753945,20220818,2.296539375762724,0.008,1,4,2
56023,0.0,20220818,0.21252283289436824,0.009,2,1,2
31101,0.0,20220818,0.21252283289436824,0.029,2,1,1
31137,0.0,20220818,0.21252283289436824,0.018,2,1,1
40135,0.001510465367186938,20220818,2.521837336335957,0.001,1,4,3
01049,0.002173608189594727,20220818,3.1353639495442636,0.008,1,4,2
18073,0.0,20220818,0.21252283289436824,0.008,2,1,2
13025,0.0,20220818,0.21252283289436824,0.03,2,1,1
39047,0.0022711390635918936,20220818,5.3977921444012935,0.004,1,4,2
25015,0.0011426300362660838,20220818,1.1845483017740086,0.027,1,4,1
21003,0.0,20220818,0.21252283289436824,0.018,2,1,1
37001,0.0,20220818,0.21252283289436824,0.026,2,1,1
20073,0.0,20220818,0.21252283289436824,0.014,2,1,1
16051,0.0,20220818,0.21252283289436824,0.033,2,1,1
28017,0.0,20220818,0.21252283289436824,0.015,2,1,1
26035,0.0,20220818,0.21252283289436824,0.019,2,1,1
20157,0.0,20220818,0.21252283289436824,0.027,2,1,1
12127,0.0,20220818,0.21252283289436824,0.02,2,1,1
40017,0.0022213520344594355,20220818,4.978031208966789,0.001,1,4,3
21231,0.0,20220818,0.21252283289436824,0.016,2,1,1
47185,0.0,20220818,0.2125228328943682,0.032,2,1,1
20043,0.0,20220818,0.21252283289436824,0.027,2,1,1
32001,0.0,20220818,0.21252283289436824,0.036,2,1,1
31181,0.0,20220818,0.21252283289436824,0.014,2,1,1
46067,0.0,20220818,0.21252283289436824,0.009,2,1,2
26103,0.0,20220818,0.21252283289436824,0.01,2,1,2
37057,0.0,20220818,0.21252283289436824,0.022,2,1,1
29103,0.0,20220818,0.21252283289436824,0.026,2,1,1
29117,0.0,20220818,0.21252283289436824,0.031,2,1,1
39017,0.002215678689749723,20220818,1.8396887747525659,0.028,1,4,1
13273,0.0,20220818,0.21252283289436824,0.022,2,1,1
13063,0.0,20220818,0.2125228328943682,0.043,2,1,1
56013,0.0,20220818,0.21252283289436824,0.007,2,1,2
30065,0.0,20220818,0.2125228328943682,0.04,2,1,1
20039,0.0,20220818,0.21252283289436824,0.035,2,1,1
18123,0.0,20220818,0.21252283289436824,0.04,2,1,1
28145,0.0,20220818,0.21252283289436824,0.017,2,1,1
31015,0.0,20220818,0.21252283289436824,0.03,2,1,1
27095,0.0010825439783491205,20220818,1.3044429363757468,0.003,1,4,2
39115,0.0020491803278688526,20220818,4.40899418423193,0.005,1,4,2
39133,0.0016306588477087705,20220818,2.3726802002600547,0.006,1,4,2
05113,0.0003483626953319399,20220818,-0.04028588184998528,0.035,3,3,1
13193,0.0,20220818,0.21252283289436824,0.016,2,1,1
47129,0.0,20220818,0.2125228328943682,0.046,2,1,1
21209,0.0,20220818,0.21252283289436824,0.016,2,1,1
19053,0.0,20220818,0.21252283289436824,0.014,2,1,1
18169,0.0,20220818,0.21252283289436824,0.026,2,1,1
18099,0.0,20220818,0.21252283289436824,0.031,2,1,1
27045,0.0011933743854121916,20220818,0.982171013704883,0.018,1,4,1
27073,0.0017859800565560352,20220818,1.7059480004154752,0.022,1,4,1
49005,0.0,20220818,0.21252283289436824,0.025,2,1,1
13049,0.0,20220818,0.2125228328943682,0.046,2,1,1
20147,0.0,20220818,0.21252283289436824,0.04,2,1,1
31089,0.0,20220818,0.21252283289436824,0.012,2,1,1
12051,0.0,20220818,0.21252283289436824,0.008,2,1,2
30059,0.0,20220818,0.21252283289436824,0.01,2,1,2
01019,0.0033586843222792725,20220818,4.340777747500097,0.011,1,4,1
30087,0.0,20220818,0.21252283289436824,0.007,2,1,2
26153,0.0,20220818,0.21252283289436824,0.028,2,1,1
20199,0.0,20220818,0.20033042321190403,0.034,2,1,1
37155,0.0,20220818,0.21252283289436824,0.007,2,1,2
26123,0.0,20220818,0.21252283289436824,0.007,2,1,2
27153,0.0035110639340246593,20220818,7.189165271350046,0.003,1,4,2
37109,0.0,20220818,0.21252283289436824,0.03,2,1,1
12095,0.0,20220818,0.21252283289436824,0.034,2,1,1
16041,0.0,20220818,0.21252283289436824,0.017,2,1,1
20161,0.0,20220818,0.21252283289436824,0.022,2,1,1
37027,0.0,20220818,0.21252283289436824,0.027,2,1,1
18173,0.0,20220818,0.21252283289436824,0.008,2,1,2
21001,0.0,20220818,0.21252283289436824,0.022,2,1,1
21077,0.0,20220818,0.2125228328943682,0.042,2,1,1
21097,0.0,20220818,0.21252283289436824,0.013,2,1,1
31171,0.0,20220818,0.2125228328943682,0.045,2,1,1
21061,0.0,20220818,0.2125228328943682,0.047,2,1,1
27085,0.0025396293815583837,20220818,4.214768738691827,0.01,1,4,2
40095,0.0022417449257800667,20220818,6.670652560037873,0.002,1,4,2
53041,0.0,20220818,0.21252283289436824,0.007,2,1,2
19031,0.0,20220818,0.21252283289436824,0.045,2,1,1
18117,0.0,20220818,0.2125228328943682,0.042,2,1,1
13089,0.0,20220818,0.2125228328943682,0.038,2,1,1
30015,0.0,20220818,0.21252283289436824,0.01,2,1,2
31017,0.0,20220818,0.2125228328943682,0.049,2,1,1
47013,0.0,20220818,0.21252283289436824,0.032,2,1,1
37069,0.0,20220818,0.21252283289436824,0.02,2,1,1
20111,0.0,20220818,0.21252283289436824,0.022,2,1,1
19027,0.0,20220818,0.21252283289436824,0.021,2,1,1
47123,0.0,20220818,0.21252283289436824,0.03,2,1,1
20075,0.0,20220818,0.20497027301204324,0.026,2,1,1
19151,0.0,20220818,0.21252283289436824,0.011,2,1,1
16045,0.0,20220818,0.21252283289436824,0.015,2,1,1
30097,0.0,20220818,0.2125228328943682,0.049,2,1,1
48181,0.000259514250385455,20220818,-0.19236574442016205,0.015,3,3,1
20051,0.0,20220818,0.21252283289436824,0.02,2,1,1
01065,0.0018907421162806402,20220818,3.8642955314936245,0.002,1,4,2
01105,0.0016141181534488325,20220818,3.164433861069712,0.004,1,4,2
01033,0.005440835478629202,20220818,14.291296007321883,0.002,1,4,2
20151,0.0,20220818,0.21252283289436824,0.03,2,1,1
21017,0.0,20220818,0.21252283289436824,0.016,2,1,1
47149,0.0,20220818,0.21252283289436824,0.022,2,1,1
13075,0.0,20220818,0.2125228328943682,0.047,2,1,1
47159,0.0,20220818,0.21252283289436824,0.028,2,1,1
19101,0.0,20220818,0.21252283289436824,0.03,2,1,1
30049,0.0,20220818,0.21252283289436824,0.012,2,1,1
40003,0.001026167265264238,20220818,2.0112911647922966,0.001,1,4,3
21193,0.0,20220818,0.21252283289436824,0.018,2,1,1
31007,0.0,20220818,0.21252283289436824,0.027,2,1,1
19121,0.0,20220818,0.21252283289436824,0.012,2,1,1
13279,0.0,20220818,0.21252283289436824,0.013,2,1,1
27105,0.0019784669181926937,20220818,2.1191570694213784,0.016,1,4,1
27001,0.0015157256536566881,20220818,2.3253915232829767,0.003,1,4,2
20195,0.0,20220818,0.2125228328943682,0.05,2,1,1
45081,0.0,20220818,0.2125228328943682,0.039,2,1,1
