ID,daily,date,lisa_v,lisa_p,lisa_c,clusterN,p
31039,0.0,20220819,1.1785584929867712,0.002,2,1,2
53069,0.0,20220819,0.8204231632187082,0.031,2,1,1
31109,2.8739486137987854e-05,20220819,1.2584940125556636,0.001,2,1,3
31129,0.0,20220819,1.0908145913650436,0.003,2,1,2
48189,0.000295630580027198,20220819,0.07558822311031647,0.029,1,4,1
41063,0.00014277555682467162,20220819,0.43675021032400224,0.003,2,1,2
08109,0.00015169902912621358,20220819,0.5046346075474527,0.001,2,1,3
49033,0.0,20220819,1.1749231475390651,0.001,2,1,3
51121,0.0002343590788669248,20220819,-0.12214523876407672,0.048,3,3,1
47065,2.4936343057583558e-05,20220819,0.6722601955791973,0.009,2,1,2
56023,0.00015565009857839576,20220819,0.2994582748461164,0.032,2,1,1
54075,0.00035502958579881655,20220819,0.45507481301455116,0.009,1,4,2
31101,0.0,20220819,1.4303284692371288,0.001,2,1,3
31137,0.0,20220819,1.4820015828828783,0.001,2,1,3
22019,0.00022319325063610077,20220819,0.1433068078405468,0.034,2,1,1
36101,0.00015556615710107653,20220819,0.35767805076986364,0.011,2,1,1
13171,0.0005355612682090831,20220819,0.9633905108205585,0.045,1,4,1
16051,0.00014018364056914557,20220819,0.5191297134760453,0.003,2,1,2
47115,0.0,20220819,0.8864085018542007,0.008,2,1,2
12129,0.0007116116456792797,20220819,6.166325096158447,0.003,1,4,2
12131,0.0005859775570595646,20220819,1.4331447898018792,0.012,1,4,1
28017,0.0005816320595591229,20220819,1.2315031028109908,0.023,1,4,1
20157,0.00042936882782310007,20220819,-0.7087954376802179,0.001,4,2,3
12127,0.0006728960813589146,20220819,3.351602449696653,0.004,1,4,2
26007,0.00021037868162692848,20220819,0.2652928772769565,0.005,2,1,2
21231,0.0007300691132093838,20220819,3.524237227251161,0.004,1,4,2
47185,3.7313432835820896e-05,20220819,1.2377606071376985,0.001,2,1,3
12053,0.0007836275514859403,20220819,5.346622104489317,0.006,1,4,2
32001,0.000123665443752834,20220819,0.6601439300004561,0.002,2,1,2
31181,0.0,20220819,1.2666938898083098,0.001,2,1,3
46067,0.00013683634373289546,20220819,0.31270348536405845,0.041,2,1,1
50011,8.143985666585227e-05,20220819,0.9780315706475173,0.001,2,1,3
17025,0.0003763076691502973,20220819,0.46982769027005733,0.013,1,4,1
13073,0.0001990643973325371,20220819,-0.24545609257029888,0.047,3,3,1
08115,0.0,20220819,0.982899668995854,0.017,2,1,1
20039,0.00034965034965034965,20220819,-0.279491494465028,0.005,4,2,2
28145,0.0003858701371592942,20220819,0.5291551097514589,0.014,1,4,1
31015,0.0,20220819,1.1669020428296772,0.001,2,1,3
08017,0.0,20220819,1.139437616101997,0.003,2,1,2
13193,0.0005261180007515971,20220819,1.1793853595713055,0.007,1,4,2
47129,0.0,20220819,1.2940630485227609,0.001,2,1,3
17185,0.0006062705698943357,20220819,1.2635478717189288,0.016,1,4,1
21209,0.0005670697129895549,20220819,1.5226310651633028,0.006,1,4,2
49005,0.0,20220819,1.4143341361177983,0.001,2,1,3
13049,0.00015337423312883436,20220819,-0.8257343238796552,0.004,3,3,2
16055,0.00011441502142103456,20220819,0.48808163552599476,0.049,2,1,1
31089,0.0,20220819,1.4820015828828783,0.001,2,1,3
12051,0.0007119709319453992,20220819,3.360977681686602,0.002,1,4,2
08067,0.00012586079795745905,20220819,0.5432617876030913,0.003,2,1,2
30087,0.0003277972027972028,20220819,-0.14477991260633674,0.026,4,2,1
35059,0.0,20220819,0.7200057837460868,0.018,2,1,1
20199,0.0,20220819,1.2062292320225783,0.002,2,1,2
12095,0.0006993908483522085,20220819,4.311110040434345,0.001,1,4,3
08111,0.0,20220819,1.227334631867994,0.001,2,1,3
