daily,date,lisa_v,lisa_p,lisa_c,ID,clusterN,p
0.0,20220501,0.28835930487891326,0.007,2,20051,1,2
0.0,20220501,0.2788281225613849,0.013,2,20151,1,1
9.971083856815236e-05,20220501,0.22224675447949865,0.006,1,21017,4,2
0.0,20220501,0.28835930487891326,0.008,2,47149,1,2
0.0,20220501,0.28835930487891326,0.01,2,40059,1,2
0.00018291567587342235,20220501,0.8575969024983586,0.012,1,17147,4,1
0.0,20220501,0.28835930487891326,0.01,2,47159,1,2
0.00031723271557549185,20220501,1.6931809699508908,0.03,1,51510,4,1
7.374087456677236e-05,20220501,0.018896864848617027,0.042,2,30049,1,1
0.0,20220501,0.28835930487891326,0.009,2,40003,1,2
0.0,20220501,0.25925701318962163,0.029,2,48119,1,1
0.0,20220501,0.28835930487891326,0.042,2,47169,1,1
0.0,20220501,0.28835930487891326,0.048,2,12011,1,1
0.0,20220501,0.28835930487891326,0.005,2,13279,1,2
0.0002759917350433819,20220501,1.9972098157559581,0.011,1,26163,4,1
0.0,20220501,0.28835930487891326,0.01,2,27105,1,2
5.083238022620409e-05,20220501,-0.1636103560050696,0.042,3,37145,3,1
0.0,20220501,0.28835930487891326,0.026,2,20195,1,1
0.0,20220501,0.2507918181821243,0.04,2,28151,1,1
0.0,20220501,0.2754995130054923,0.009,2,28055,1,2
0.0,20220501,0.28835930487891326,0.019,2,29125,1,1
0.0,20220501,0.25974856161471704,0.019,2,05001,1,1
0.0,20220501,0.28835930487891326,0.003,2,29109,1,2
4.2140750105351876e-05,20220501,0.1290581824376586,0.029,2,16053,1,1
0.0,20220501,0.28835930487891326,0.024,2,12099,1,1
0.0,20220501,0.28835930487891326,0.007,2,47165,1,2
3.5758984444841765e-05,20220501,0.13739737384688805,0.026,2,05015,1,1
0.001987353206865402,20220501,-6.844942852038517,0.001,4,51820,2,3
0.00041386715982729436,20220501,1.8761767162537328,0.032,1,41051,4,1
0.0,20220501,0.28835930487891326,0.022,2,47061,1,1
0.0,20220501,0.25761410851968586,0.044,2,38081,1,1
0.00034890233489115165,20220501,3.666546949283339,0.008,1,36089,4,2
0.0,20220501,0.28835930487891326,0.018,2,29179,1,1
0.0,20220501,0.2681938623161559,0.028,2,28009,1,1
0.0,20220501,0.28835930487891326,0.006,2,19159,1,2
0.0,20220501,0.2367006314245222,0.037,2,27063,1,1
0.0003870530746528618,20220501,2.8437520023581677,0.019,1,27039,4,1
0.0,20220501,0.28835930487891326,0.024,2,47105,1,1
0.0,20220501,0.27805550886523167,0.006,2,48107,1,2
0.0,20220501,0.2571935042078035,0.047,2,01063,1,1
0.0,20220501,0.28835930487891326,0.021,2,16033,1,1
0.0,20220501,0.26749464203546736,0.033,2,38013,1,1
0.0,20220501,0.28835930487891326,0.022,2,47003,1,1
0.0,20220501,0.28835930487891326,0.003,2,47027,1,2
0.0,20220501,0.2542772847587214,0.046,2,47097,1,1
0.0,20220501,0.24901794895627305,0.038,2,41001,1,1
0.0003348214285714286,20220501,4.27725430752349,0.001,1,36097,4,3
0.0,20220501,-0.920773972897551,0.002,3,21127,3,2
0.0011288380493678508,20220501,6.789527493459987,0.021,1,21175,4,1
3.2309133792123036e-05,20220501,0.1407380234851436,0.039,2,21177,1,1
0.0,20220501,0.2670139591942038,0.023,2,46025,1,1
0.0,20220501,0.28835930487891326,0.012,2,12041,1,1
0.0,20220501,0.28835930487891326,0.028,2,48277,1,1
0.00018375597206909226,20220501,-0.3712048165760663,0.001,4,51595,2,3
0.0,20220501,0.28835930487891326,0.006,2,20071,1,2
0.0,20220501,0.23693635018721335,0.04,2,48433,1,1
0.0006349064905265268,20220501,4.01417846957762,0.016,1,33009,4,1
0.0,20220501,0.28835930487891326,0.011,2,29145,1,1
0.0,20220501,0.28835930487891326,0.006,2,12055,1,2
0.0001786352268667381,20220501,-0.3528246802868599,0.001,4,51580,2,3
0.0,20220501,-3.29983159246012,0.001,3,50017,3,3
3.5005425841005356e-05,20220501,0.14971692778916143,0.018,2,20113,1,1
0.0,20220501,0.28835930487891326,0.047,2,12017,1,1
0.0,20220501,0.28835930487891326,0.013,2,47041,1,1
0.0,20220501,0.28835930487891326,0.019,2,46097,1,1
0.0,20220501,0.28835930487891326,0.01,2,46073,1,2
0.00029365439547238316,20220501,3.1923072166578534,0.004,1,36031,4,2
0.0,20220501,0.2571652150257172,0.028,2,40063,1,1
1.69061707523246e-05,20220501,0.2181373734591753,0.012,2,28087,1,1
0.0,20220501,0.28835930487891326,0.003,2,08099,1,2
0.0,20220501,0.28835930487891326,0.011,2,29043,1,1
0.00026659557451346307,20220501,0.9743746542573494,0.041,1,55047,4,1
0.0,20220501,0.264406125841699,0.019,2,30073,1,1
0.00019403535324136057,20220501,0.5707477286864012,0.037,1,55127,4,1
0.0,20220501,0.258982799135436,0.043,2,32021,1,1
0.0003396610937087217,20220501,2.7479798249241973,0.005,1,36103,4,2
0.00013860398070632588,20220501,0.8404704476718436,0.004,1,31157,4,2
0.0,20220501,0.25761410851968586,0.02,2,38021,1,1
3.8115566397316666e-05,20220501,0.12886284626873556,0.031,2,13293,1,1
0.00023010492784709827,20220501,0.7077183875477301,0.041,1,06097,4,1
0.0,20220501,0.26367922134360194,0.031,2,48271,1,1
0.0,20220501,0.28835930487891326,0.022,2,40115,1,1
0.0,20220501,0.26467192977855025,0.019,2,28003,1,1
1.866019779809666e-05,20220501,0.21032310191236112,0.008,2,28071,1,2
0.0,20220501,-0.40317997914571935,0.05,3,29005,3,1
0.00019899931771662498,20220501,0.5137123652849448,0.04,1,17115,4,1
0.0,20220501,0.28835930487891326,0.005,2,30033,1,2
0.0004586296662338753,20220501,3.4082160012873985,0.014,1,27109,4,1
0.0002815716753334188,20220501,2.4443966038426983,0.009,1,34039,4,2
0.0,20220501,0.26299387421397086,0.034,2,46087,1,1
9.108297659167502e-05,20220501,-0.03481423828030403,0.041,4,21087,2,1
4.21972086546475e-05,20220501,0.12769812468812158,0.018,2,38015,1,1
0.0,20220501,-0.6666282976860349,0.015,3,21237,3,1
0.00012702041853227905,20220501,0.7188475531237669,0.003,1,23029,4,2
0.0,20220501,0.28835930487891326,0.008,2,48045,1,2
0.0,20220501,0.2667759928985522,0.018,2,46137,1,1
0.0,20220501,0.25291658330780115,0.038,2,48203,1,1
0.0,20220501,0.28835930487891326,0.004,2,29019,1,2
0.0,20220501,0.2291984342668699,0.043,2,48383,1,1
0.0,20220501,0.2771005481186429,0.025,2,05071,1,1
0.00044296788482834997,20220501,5.655081501163223,0.005,1,36041,4,2
0.0,20220501,0.24182666471317382,0.029,2,05129,1,1
0.0,20220501,0.28835930487891326,0.013,2,47095,1,1
6.296832693155343e-05,20220501,-0.10067700414810694,0.028,3,20139,3,1
0.0,20220501,0.2733629483229445,0.021,2,48359,1,1
0.0,20220501,0.23248481102218133,0.045,2,20115,1,1
0.0,20220501,0.28835930487891326,0.019,2,48357,1,1
0.0,20220501,0.283888797590964,0.023,2,48103,1,1
0.0,20220501,0.28835930487891326,0.012,2,47081,1,1
0.0,20220501,0.2733180367592401,0.009,2,28143,1,2
0.0,20220501,0.28835930487891326,0.009,2,29081,1,2
0.0,20220501,0.28835930487891326,0.003,2,47141,1,2
2.9064698017787595e-05,20220501,0.18403599066168375,0.022,2,38101,1,1
0.00032130091710193845,20220501,2.5056912461679586,0.008,1,25027,4,2
0.00025871988126119133,20220501,2.092525020359731,0.003,1,36027,4,2
0.0,20220501,0.28835930487891326,0.005,2,29067,1,2
0.0,20220501,0.2765835380061343,0.01,2,48305,1,2
0.0003835123057426799,20220501,4.378347442942227,0.007,1,36077,4,2
0.00025079942316132673,20220501,1.1252711601850027,0.014,1,31131,4,1
0.0,20220501,0.28835930487891326,0.021,2,46015,1,1
0.0,20220501,0.28835930487891326,0.007,2,47177,1,2
0.0009420631182289214,20220501,4.954783339230603,0.037,1,21201,4,1
0.0,20220501,0.28835930487891326,0.007,2,29225,1,2
0.0,20220501,0.28835930487891326,0.001,2,12093,1,3
4.3414292950001207e-05,20220501,0.10873137685677872,0.042,2,01125,1,1
0.0,20220501,0.27307859124230266,0.009,2,01131,1,2
0.000765814060346148,20220501,7.265056604773726,0.012,1,31099,4,1
0.0,20220501,-0.848860704690255,0.012,3,31087,3,1
0.0,20220501,0.28835930487891326,0.042,2,05133,1,1
0.00010702468217152447,20220501,0.14728236013387033,0.032,1,42101,4,1
0.0006430116326649909,20220501,8.02476016597787,0.004,1,36109,4,2
0.0,20220501,0.2779977450251041,0.022,2,05079,1,1
0.0001958672020370189,20220501,0.5343847643330465,0.041,1,55123,4,1
0.0,20220501,0.28835930487891326,0.004,2,29093,1,2
2.7407772844378667e-05,20220501,0.17993754699029735,0.023,2,48223,1,1
0.00044955826014437985,20220501,5.596662064051196,0.003,1,36001,4,2
0.0,20220501,0.28835930487891326,0.005,2,20187,1,2
0.00031626926296859014,20220501,1.2070145588083414,0.038,1,08013,4,1
0.0,20220501,0.28835930487891326,0.017,2,47089,1,1
8.939346533768382e-05,20220501,-0.029843166260634525,0.006,4,16013,2,2
0.0,20220501,0.26997650261752554,0.006,2,22053,1,2
0.0,20220501,0.28835930487891326,0.007,2,30011,1,2
0.0,20220501,0.25617528285801855,0.039,2,48461,1,1
0.000285591889190347,20220501,1.772869104603665,0.012,1,17093,4,1
0.00012126759282384583,20220501,0.38503768469346134,0.019,1,11001,4,1
0.00016614844176497117,20220501,0.5166391218327058,0.038,1,55059,4,1
0.00018287887931822753,20220501,0.7665948247609113,0.012,1,08037,4,1
0.0003348720685836283,20220501,2.124987880020623,0.027,1,06075,4,1
0.0,20220501,0.28835930487891326,0.05,2,12109,1,1
0.0,20220501,0.28835930487891326,0.008,2,29079,1,2
0.00031548927288379316,20220501,1.8652094469074711,0.008,1,17031,4,2
0.0,20220501,0.2400223238051952,0.039,2,17059,1,1
2.840465268210933e-05,20220501,0.15034840552305276,0.048,2,45047,1,1
0.0,20220501,0.28835930487891326,0.005,2,47075,1,2
0.0,20220501,0.2599344547584777,0.037,2,28139,1,1
0.0,20220501,0.28835930487891326,0.008,2,38005,1,2
0.0,20220501,0.28835930487891326,0.011,2,29163,1,1
0.0,20220501,0.28835930487891326,0.018,2,29201,1,1
0.0,20220501,0.2590506022698052,0.02,2,13319,1,1
0.0,20220501,0.28835930487891326,0.021,2,12027,1,1
0.0003291072964583567,20220501,2.2428744154157565,0.012,1,09011,4,1
0.0,20220501,0.2626890173841305,0.032,2,29209,1,1
0.0,20220501,0.23585614216020237,0.033,2,19039,1,1
0.00028083079752099497,20220501,1.398215041733202,0.036,1,06041,4,1
0.0,20220501,0.27550528497379717,0.011,2,48381,1,1
1.8602920658543392e-05,20220501,0.19960697182698633,0.015,2,48401,1,1
0.0,20220501,0.28835930487891326,0.003,2,12043,1,2
0.0,20220501,0.28835930487891326,0.016,2,29089,1,1
0.00023653684823585563,20220501,0.8076240182312556,0.043,1,55079,4,1
0.00020650490449148167,20220501,0.6640897586617515,0.032,1,27139,4,1
0.0,20220501,0.27284719135214885,0.022,2,47099,1,1
0.00026171159382360636,20220501,0.8399451384938693,0.043,1,17103,4,1
0.000860461781155887,20220501,4.222608587556336,0.041,1,31127,4,1
0.000170200963211377,20220501,0.5077778250782191,0.036,1,26075,4,1
0.0,20220501,0.2637991218486488,0.036,2,45009,1,1
0.0,20220501,0.2623770235407714,0.013,2,13019,1,1
0.0,20220501,-0.6930012749852393,0.009,3,40033,3,2
0.0,20220501,0.28835930487891326,0.023,2,29221,1,1
0.0002970616725863739,20220501,3.4735473671539503,0.001,1,36011,4,3
0.0003479955456570156,20220501,3.4523186548144786,0.005,1,33019,4,2
0.0002952091767881242,20220501,2.93486627332407,0.008,1,36039,4,2
0.0,20220501,0.24991834283466058,0.01,2,40089,1,2
0.0,20220501,0.2587206243374095,0.022,2,46077,1,1
0.0,20220501,0.2543317533735274,0.017,2,56009,1,1
0.00041896965692830786,20220501,5.340978558783375,0.002,1,36043,4,2
0.0,20220501,0.25411796980657364,0.048,2,38047,1,1
0.00021234428086070215,20220501,1.5910602871515318,0.029,1,51610,4,1
